book_id,authors,original_title,url
2887,Kim Harrison,For a Few Demons More ,https://play.google.com/store/books/details/Kim_Harrison_For_a_Few_Demons_More?id=q1GO3GNL1JkC
2930,Kim Harrison,The Outlaw Demon Wails,https://play.google.com/store/books/details/Kim_Harrison_The_Outlaw_Demon_Wails?id=3XBLfHZmDDYC
3673,Kim Harrison,"White Witch, Black Curse",https://play.google.com/store/books/details/Kim_Harrison_White_Witch_Black_Curse?id=45PtPW_SV74C
3819,Kim Harrison,Pale Demon,https://play.google.com/store/books/details/Kim_Harrison_Pale_Demon?id=oG9FjaEoSYoC
4889,Kim Harrison,A Perfect Blood,https://play.google.com/store/books/details/Kim_Harrison_A_Perfect_Blood?id=63gzo0vMqnIC
7834,Kim Harrison,The Witch with No Name,https://play.google.com/store/books/details/Kim_Harrison_The_Witch_with_No_Name?id=Y_xzAwAAQBAJ
1803,L.J. Smith,The Awakening and the Struggle,https://play.google.com/store/books/details/L_J_Smith_The_Vampire_Diaries_The_Awakening?id=5NEWm6AvTl0C
1805,L.J. Smith,"Night World, No. 3",https://play.google.com/store/books/details/L_J_Smith_Spellbinder?id=Ddi-CwAAQBAJ
2182,L.J. Smith,"Night World, No. 1",https://play.google.com/store/books/details/L_J_Smith_Night_World?id=rkGnCwAAQBAJ
2394,L.J. Smith,The Fury and Dark Reunion,https://play.google.com/store/books/details/L_J_Smith_The_Vampire_Diaries_Dark_Reunion?id=bgGjuyp41TQC
3083,L.J. Smith,The Return: Nightfall,https://play.google.com/store/books/details/L_J_Smith_The_Vampire_Diaries_The_Return_Nightfall?id=jesAXgTdFdoC
3486,L.J. Smith,The Vampire Diaries: The Return: Shadow Souls ,https://play.google.com/store/books/details/L_J_Smith_The_Vampire_Diaries_The_Return_Shadow_So?id=nyxox1dFpQMC
5759,L.J. Smith,The Vampire Diaries: The Return: Midnight,https://play.google.com/store/books/details/L_J_Smith_The_Vampire_Diaries_The_Return_Midnight?id=YfvITKrV7SoC
6387,L.J. Smith,The Forbidden Game,https://play.google.com/store/books/details/L_J_Smith_The_Forbidden_Game?id=rkqdv544pzsC
6658,L.J. Smith,The Fury,https://play.google.com/store/books/details/L_J_Smith_The_Vampire_Diaries_The_Fury?id=rZiijLrOJpkC
1424,Lee Child,"Die Trying (Jack Reacher, #2)",https://play.google.com/store/books/details/Lee_Child_Die_Trying?id=IaOL_j36Z14C
1870,Lee Child,The Visitor,https://play.google.com/store/audiobooks/details/The_Visitor_Jack_Reacher_4?id=AQAAAACq1hLWqM&hl=en_US
2121,Lee Child,61 Hours,https://play.google.com/store/books/details/Lee_Child_61_Hours?id=ys_e1Jaxh4UC
2135,Lee Child,Bad Luck and Trouble,https://play.google.com/store/books/details/Lee_Child_Bad_Luck_and_Trouble?id=ptPzIX6sdfQC
2245,Lee Child,The Enemy,https://play.google.com/store/books/details/Lee_Child_The_Enemy?id=rFn1T6E0UJEC
2393,Lee Child,Echo Burning,https://play.google.com/store/books/details/Lee_Child_Echo_Burning?id=_f5KcJAyhvoC
2522,Lee Child,The Hard Way,https://play.google.com/store/books/details/Lee_Child_The_Hard_Way?id=PPNZYEL7pwgC
2774,Lee Child,Make Me,https://play.google.com/store/books/details/Lee_Child_Make_Me_with_bonus_short_story_Small_War?id=W23WBQAAQBAJ
3144,Lee Child,Nothing to Lose,https://play.google.com/store/books/details/Lee_Child_Nothing_to_Lose?id=QWyd8MlbpfkC
394,Richelle Mead,Shadow Kiss,https://play.google.com/store/books/details/Richelle_Mead_Shadow_Kiss?id=KqyijSJv8lwC
419,Richelle Mead,Blood Promise,https://play.google.com/store/books/details/Richelle_Mead_Blood_Promise?id=owdvLQqC-dsC
759,Richelle Mead,Bloodlines,https://play.google.com/store/books/details/Richelle_Mead_Bloodlines?id=LiCe6IqBL-EC
1416,Richelle Mead,The Golden Lily,https://play.google.com/store/books/details/Richelle_Mead_The_Golden_Lily?id=b1AHYn4ocpkC
3793,Richelle Mead,Silver Shadows,https://play.google.com/store/books/details/Richelle_Mead_Silver_Shadows?id=5aE7AgAAQBAJ
6743,Richelle Mead,Succubus On Top,https://play.google.com/store/books/details/Richelle_Mead_Succubus_On_Top?id=5_lUIYI5DHIC
7940,Richelle Mead,Succubus Dreams ,https://play.google.com/store/books/details/Richelle_Mead_Succubus_Dreams?id=LJ0hAgAAQBAJ
9184,Richelle Mead,Succubus Shadows ,https://play.google.com/store/books/details/Richelle_Mead_Succubus_Shadows?id=pVTUAAAAQBAJ
548,Sara Shepard,Pretty Little Liars,https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars?id=s9y8EgfB5GgC
1824,Sara Shepard,Flawless,https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars_2_Flawless?id=rU6Nsr-9_e0C
2402,Sara Shepard,Unbelievable,https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars_4_Unbelievable?id=sE2u3AxsKJkC
2929,Sara Shepard,Wanted,https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars_8_Wanted?id=4cRbONyb_1IC
3430,Sara Shepard,The Lying Game,https://play.google.com/store/books/details/Sara_Shepard_The_Lying_Game?id=J0ukR5E9MfwC
4436,Sara Shepard,Twisted,https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars_9_Twisted?id=q2iwThAsdmgC
7192,Sara Shepard,Ruthless,https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars_10_Ruthless?id=ku2jNWwbm0AC
8797,Sara Shepard,"Stunning (Pretty Little Liars, #11)",https://play.google.com/store/books/details/Sara_Shepard_Pretty_Little_Liars_11_Stunning?id=oJHl-oaxRkoC
2317,Sherrilyn Kenyon,Night Pleasures,https://play.google.com/store/books/details/Sherrilyn_Kenyon_Night_Pleasures?id=BNaURsY-nTAC
3215,Sherrilyn Kenyon,"Acheron (Dark-Hunter, #15) - Part 1",https://play.google.com/store/books/details/Sherrilyn_Kenyon_Acheron?id=0VB4njZ3mD0C
3454,Sherrilyn Kenyon,"Night Embrace (Dark-Hunter, #2)",https://play.google.com/store/books/details/Sherrilyn_Kenyon_Night_Embrace?id=Y-ufWyq7sUsC
4030,Sherrilyn Kenyon,The Dream Hunter,https://play.google.com/store/books/details/Sherrilyn_Kenyon_The_Dream_Hunter?id=4U2PTkUfJH0C
4781,Sherrilyn Kenyon,Unleash the Night,https://play.google.com/store/books/details/Sherrilyn_Kenyon_Unleash_the_Night?id=WP793Rcrqr4C
5760,Sherrilyn Kenyon,Dark Side of the Moon,https://play.google.com/store/books/details/Sherrilyn_Kenyon_Dark_Side_of_the_Moon?id=C9FNZc5mhxUC
6918,Sherrilyn Kenyon,Invincible (Chronicles of Nick #2),https://play.google.com/store/books/details/Sherrilyn_Kenyon_Invincible?id=n2NUA5ExOMUC
7583,Sherrilyn Kenyon,No Mercy,https://play.google.com/store/books/details/Sherrilyn_Kenyon_No_Mercy?id=u_ly5iCCR5kC
9128,Sherrilyn Kenyon,Retribution,https://play.google.com/store/books/details/Sherrilyn_Kenyon_Retribution?id=GOLul7eDqWsC
3614,"Tim LaHaye, Jerry B. Jenkins",Nicolae: The Rise of Antichrist,https://play.google.com/store/books/details/Tim_LaHaye_Nicolae?id=DMBgp1pamMYC
3918,"Tim LaHaye, Jerry B. Jenkins",Soul Harvest: The World Takes Sides,https://play.google.com/store/books/details/Tim_LaHaye_Soul_Harvest?id=LxCU-CmKuAcC
4289,"Tim LaHaye, Jerry B. Jenkins",Apollyon: The Destroyer Is Unleashed,https://play.google.com/store/books/details/Tim_LaHaye_Apollyon?id=vTDUFuTjlVcC
4548,"Tim LaHaye, Jerry B. Jenkins",The Mark: The Beast Rules the World,https://play.google.com/store/books/details/Tim_LaHaye_The_Mark?id=OXCCsSJlbTMC
4632,"Tim LaHaye, Jerry B. Jenkins",The Indwelling: The Beast Takes Possession,https://play.google.com/store/books/details/Tim_LaHaye_The_Indwelling?id=EPUBo9yDqbwC
5030,"Tim LaHaye, Jerry B. Jenkins",Desecration: The Antichrist Takes the Throne,https://play.google.com/store/books/details/Tim_LaHaye_Desecration?id=2vOWHX-MheUC
5243,"Tim LaHaye, Jerry B. Jenkins",The Remnant: On the Brink of Armageddon,https://play.google.com/store/books/details/Tim_LaHaye_The_Remnant?id=PLd3J7cC7fsC
6823,"Tim LaHaye, Jerry B. Jenkins",Armageddon: The Cosmic Battle of the Ages,https://play.google.com/store/books/details/Tim_LaHaye_Armageddon?id=LBN5i8kgka0C
